type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-24 22:33:46 +0000,2023-11-24 22:38:38 +0000,count,36.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-24 22:43:32 +0000,2023-11-24 22:48:24 +0000,count,157.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-24 22:44:53 +0000,2023-11-24 22:53:51 +0000,count,278.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-24 22:53:17 +0000,2023-11-24 22:58:10 +0000,count,36.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-24 22:55:00 +0000,2023-11-24 23:03:51 +0000,count,150.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-24 23:03:03 +0000,2023-11-24 23:07:55 +0000,count,40.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 00:11:25 +0000,2023-11-25 00:16:17 +0000,count,40.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 01:05:08 +0000,2023-11-25 01:10:00 +0000,count,82.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 01:07:54 +0000,2023-11-25 01:10:33 +0000,count,91.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 01:10:01 +0000,2023-11-25 01:14:53 +0000,count,36.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 01:14:54 +0000,2023-11-25 01:19:46 +0000,count,37.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 01:19:47 +0000,2023-11-25 01:24:39 +0000,count,137.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 01:22:23 +0000,2023-11-25 01:23:37 +0000,count,109.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 01:53:57 +0000,2023-11-25 01:58:49 +0000,count,91.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 01:58:50 +0000,2023-11-25 02:03:42 +0000,count,132.0
HKQuantityTypeIdentifierStepCount,iPhone,17.1.1,"iPhone16,1","<<HKDevice: 0x303c13110>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.1.1>",2023-11-25 01:59:47 +0000,2023-11-25 02:01:32 +0000,count,102.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:03:43 +0000,2023-11-25 02:08:35 +0000,count,36.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:08:36 +0000,2023-11-25 02:13:28 +0000,count,39.0
HKQuantityTypeIdentifierStepCount,Ultrahuman,1,"iPhone16,1",,2023-11-25 02:18:22 +0000,2023-11-25 02:23:14 +0000,count,44.0
