type,sourceName,sourceVersion,productType,device,startDate,endDate,unit,value
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 07:00:59 +0000,2023-09-24 07:01:43 +0000,mi,0.02147458840372223
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 16:15:03 +0000,2023-09-24 16:15:13 +0000,mi,0.0072079058299530175
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 16:38:37 +0000,2023-09-24 16:44:14 +0000,mi,0.013098504732362954
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 16:49:23 +0000,2023-09-24 16:51:49 +0000,mi,0.013278702378112042
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 17:00:02 +0000,2023-09-24 17:09:18 +0000,mi,0.07110971923964053
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 17:10:04 +0000,2023-09-24 17:19:49 +0000,mi,0.05450668098305937
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 17:21:36 +0000,2023-09-24 17:22:53 +0000,mi,0.005747683528195339
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 18:31:47 +0000,2023-09-24 18:40:58 +0000,mi,0.015186311938280192
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 18:42:28 +0000,2023-09-24 18:52:23 +0000,mi,0.05629659000460639
HKQuantityTypeIdentifierDistanceWalkingRunning,iPhone,17.0,"iPhone16,1","<<HKDevice: 0x303c23700>, name:iPhone, manufacturer:Apple Inc., model:iPhone, hardware:iPhone16,1, software:17.0>",2023-09-24 18:52:46 +0000,2023-09-24 18:55:55 +0000,mi,0.017682897147166917
